id,seq,x,y,speed_mps
7,0,27.609774851876026,5.386616320537058,3.0
7,1,34.162296247531074,5.386616320537058,3.0
7,2,44.2094957208688,5.5843393024010055,3.0
7,3,50.76201711652385,5.5843393024010055,3.0
7,4,60.37238183015123,5.782062284264953,3.0
7,5,67.14332060566144,6.177508247992861,3.0
7,6,73.25900724160616,7.56156912104052,3.0
7,7,79.15627649769567,9.736521921543982,3.0
7,8,85.49038051349555,12.702366649503247,3.0
7,9,92.26131928900577,17.447718214238066,3.0
7,10,99.90592758393663,21.99534679710895,3.0
7,11,105.36636208031584,26.147529416251913,3.0
7,12,111.04521395655021,30.89288098098676,3.0
7,13,118.6898222514811,37.61546236436108,3.0
7,14,126.55284792626713,41.56992200164011,3.0
7,15,135.7263778801842,44.93121269332728,3.0
7,16,143.8078209348254,47.89705742128653,3.0
7,17,149.70509019091492,48.4902263668784,3.0
7,18,159.41034741494323,48.448536126950295,3.0
7,19,166.741645819618,46.117550584510994,3.0
7,20,173.04812986993,44.25479111088516,3.0
7,21,179.2860393336459,41.330205770734466,3.0
7,22,183.99661882817628,38.60407727368084,3.0
7,23,190.53873875838838,34.32223712546772,3.0
8,0,72.81348662453385,3.6968623370973255,3.0
8,1,76.72746903313993,5.241926290384484,3.0
8,2,79.66295583959447,6.7318093881970995,3.0
8,3,82.96537849685585,8.000969064111548,3.0
8,4,87.49092065680662,11.42218210353311,3.0
8,5,93.1784263443123,14.126044021785631,3.0
8,6,96.17506912590133,17.050629361936323,3.0
8,7,99.96673958423845,18.926778448070724,3.0
8,8,102.84107041555853,21.68582122179779,3.0
8,9,106.38811697335775,24.334502284575773,3.0
8,10,109.99631950629147,27.479811046624626,3.0
8,11,113.29874216355284,30.01813039845353,3.0
8,12,118.06890822404148,32.887534883129675,3.0
8,13,124.00103781208506,37.30200332109298,3.0
8,14,130.66703910174226,40.06104609482004,3.0
8,15,136.232232838979,42.37864202475078,3.0
8,16,141.12471084973663,43.70298255613977,3.0
8,17,149.56423541829346,44.641057099206975,3.0
8,18,158.06491596198475,44.641057099206975,3.0
8,19,165.0978531024488,43.592620845190694,3.0
8,20,171.88616634237493,41.93719518095445,3.0
8,21,175.55552485044308,39.78514181744734,3.0
8,22,183.56695759305862,36.198386211602156,3.0
8,23,188.15365572814386,32.61163060575697,3.0
8,24,191.88417021134651,29.355960132759034,3.0
8,25,197.20474004804538,25.27257682764298,3.0
8,26,201.36334635718933,22.40317234296683,3.0
8,27,206.92854009442607,17.823161338579904,3.0
8,28,211.5152382295113,14.070863166311097,3.0
8,29,216.28540428999997,11.5325438144822,3.0
